customerID,Gender,Senior Citizen,Marital Status,Dependents,tenure in months,Priority Account,Credit Cards,Loan Account,Netbanking,Debit Card,MobileApp,TechSupport Availed,Zero Balance Account,FDs,Interest Deposited,Paperless Banking,Monthly Average Balance (USD),Yearly Average Balance (USD),Churn,Customer Feedback,Category,Recommendation
7975-TZMLR,Male,0,No,No,47,Yes,Yes,top up loan,No,Yes,Yes,No,Yes,Yes,One year,Yes,103.1,4889.3,No,The Current Account mobile app crashes frequently.,Current Account,
5318-YKDPV,Male,0,Yes,Yes,43,Yes,No,general loan,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,79.15,3566.6,No,The bank's online services are very reliable.,General,
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,,19.45,No,How do I close my Current Account?,,
4895-TMWIR,Male,1,Yes,No,11,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,19.95,214.75,Yes,The mobile banking app does not have biometric login.,,
4933-IKULF,Female,1,No,No,17,Yes,No,No,No,No,No,No,No,No,One year,No,20.65,330.6,No,The bank's customer service is not helpful at all.,,
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,general loan,Yes,Yes,No,Yes,No,No,One year,Yes,66.85,4748.7,No,The process of getting a new Debit Card was very quick and easy.,,
0078-XZMHT,Male,0,Yes,No,72,Yes,Yes,general loan,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,85.15,6316.2,No,The fixed deposit interest rates are very attractive.,,
4742-DRORA,Male,0,Yes,Yes,60,Yes,Yes,top up loan,Yes,No,Yes,No,Yes,No,One year,Yes,95.4,5812,No,The ATM near my office is always functional.,,
6689-VRRTK,Female,1,No,No,44,Yes,Yes,top up loan,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,109.8,4860.35,No,The process of opening a Current Account took too long.,,
9944-HKVVB,Female,0,No,No,3,Yes,No,top up loan,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,95.1,307.4,Yes,The loan approval process is too slow and cumbersome.,,
6630-UJZMY,Female,1,Yes,No,4,Yes,Yes,top up loan,No,No,No,No,Yes,No,Month-to-month,Yes,83.25,308.05,No,The Credit Card billing process is confusing.,,
0322-YINQP,Male,0,No,No,1,Yes,No,general loan,Yes,No,No,No,No,No,Month-to-month,Yes,48.55,48.55,Yes,The Debit Card PIN reset process is very confusing.,,
4522-AKYLR,Female,1,No,No,13,Yes,No,general loan,No,Yes,Yes,No,No,No,Month-to-month,Yes,54.8,731.3,No,The mobile banking app does not have biometric login.,,
5730-DBDSI,Male,0,No,No,66,Yes,No,No,No,No,No,No,No,No,Two year,No,19.7,1253.8,No,The overdraft protection for Current Accounts is very helpful.,,
8859-AXJZP,Male,0,Yes,Yes,39,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,23.8,903.8,No,I am happy with the fixed deposit maturity process.,,
1410-RSCMR,Male,0,Yes,Yes,7,Yes,No,general loan,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,71.35,515.75,No,The Savings Account opening process is very easy.,,
3174-AKMAS,Female,0,Yes,No,46,Yes,No,general loan,No,Yes,No,Yes,Yes,No,Two year,Yes,64.2,3009.5,No,The online banking interface is very intuitive.,,
3804-RVTGV,Male,0,Yes,Yes,50,Yes,Yes,top up loan,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,103.85,5017.9,Yes,The mobile app does not support multiple accounts.,,
6952-OMNWB,Male,1,Yes,No,68,Yes,Yes,top up loan,No,No,Yes,No,No,No,Month-to-month,Yes,80.35,5589.3,No,Can I get a passbook for my Savings Account?,,
7017-VFHAY,Female,0,Yes,Yes,61,Yes,Yes,top up loan,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,115.1,7008.15,No,The Credit Card complimentary insurance is very good.,,
3859-CVCET,Female,0,No,No,4,Yes,No,general loan,No,No,No,No,No,No,Month-to-month,No,45.65,191.05,Yes,The Debit Card PIN reset process is confusing.,,
4716-HHKQH,Male,1,Yes,No,20,Yes,Yes,top up loan,No,Yes,No,Yes,Yes,,Month-to-month,No,107.05,2172.05,No,The online banking customer support is very helpful.,Online Banking,
5380-WJKOV,Male,0,No,No,34,Yes,Yes,top up loan,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,106.35,3549.25,Yes,The loan approval process took too long.,Loans,
4059-IIEBK,Female,0,No,No,7,Yes,Yes,top up loan,No,Yes,No,No,No,No,Month-to-month,Yes,78.55,522.95,No,The Savings Account minimum balance requirement is too high.,Savings Account,
4678-DVQEO,Female,0,No,No,1,Yes,No,general loan,No,No,No,Yes,No,No,Month-to-month,Yes,52.2,52.2,Yes,The Savings Account minimum balance requirement is too high.,Savings Account,
1206-EHBDD,Female,0,Yes,No,56,Yes,No,top up loan,Yes,No,Yes,No,No,No,Two year,No,80.3,4513.65,No,The loan prepayment charges are too high.,Loans,
3138-BKYAV,Male,0,No,No,6,Yes,No,top up loan,No,Yes,No,No,Yes,No,Month-to-month,Yes,85.35,489.45,Yes,The loan processing fee is too high.,Loans,
3199-NPKCN,Female,0,Yes,No,67,Yes,Yes,top up loan,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,111.25,7511.65,No,The ATM is often out of service.,ATM Service,
4959-JOSRX,Female,0,Yes,No,2,Yes,No,general loan,No,No,No,No,No,No,Month-to-month,Yes,44.6,80.55,Yes,The loan interest rates are not competitive.,Loans,
0303-UNCIP,Male,0,No,No,41,Yes,Yes,general loan,No,No,Yes,No,No,Yes,One year,No,65,2531.8,No,The Savings Account minimum balance requirement is too high.,Savings Account,
3571-DPYUH,Male,0,Yes,Yes,58,Yes,Yes,top up loan,No,Yes,No,Yes,Yes,No,One year,Yes,94.7,5430.35,No,I faced several issues while transferring money from my Current Account.,Current Account,
4648-YPBTM,Male,0,No,No,53,Yes,Yes,general loan,No,Yes,Yes,Yes,No,Yes,Two year,Yes,73.9,3958.25,No,The Debit Card PIN reset process is very confusing.,Debit Card,
3865-YIOTT,Male,0,Yes,Yes,72,Yes,Yes,top up loan,Yes,No,Yes,No,Yes,Yes,One year,Yes,106.1,7848.5,No,I am happy with the travel benefits on my Credit Card.,Credit Card,
0224-RLWWD,Female,1,No,No,2,Yes,No,general loan,No,No,No,No,No,No,Month-to-month,Yes,44.3,89.3,No,The cashback offers on Credit Cards are very attractive.,Credit Cards,
5337-IIWKZ,Male,0,Yes,Yes,34,No,No,general loan,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,44.85,1442.6,No,The rewards program for Credit Cards is very beneficial.,Credit Cards,
8672-OAUPW,Male,0,No,Yes,51,Yes,No,general loan,No,No,No,Yes,No,No,One year,No,47.85,2356.75,No,How do I open a Current Account?,Current Account,
7850-VWJUU,Female,0,No,,23,Yes,No,top up loan,Yes,No,No,No,No,No,Month-to-month,Yes,75,1778.5,No,My Credit Card is not linked to my account.,Credit Card,
1374-DMZUI,Female,1,No,No,4,Yes,Yes,top up loan,No,No,No,No,Yes,Yes,Month-to-month,Yes,94.3,424.45,Yes,The Debit Card issuance process is very slow.,Debit Cards,
4002-BQWPQ,Male,0,No,No,25,Yes,Yes,general loan,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,81.75,2028.8,No,How do I change my contact information with the bank?,General,
4134-BSXLX,Male,0,Yes,No,28,Yes,No,general loan,Yes,Yes,No,Yes,No,No,Month-to-month,No,60.9,1785.65,No,The Current Account overdraft fees are exorbitant.,Current Account,
5712-AHQNN,Female,0,No,No,43,Yes,No,top up loan,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,91.65,3954.1,No,I lost my Savings Account passbook. How can I get a new one?,Savings Account,
9399-APLBT,Female,0,Yes,Yes,1,Yes,No,top up loan,No,Yes,No,No,No,No,Month-to-month,Yes,74.7,74.7,Yes,The loan disbursement process is very slow.,Loans,
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,top up loan,Yes,No,Yes,No,Yes,Yes,Two year,No,106.7,7382.25,No,The Credit Card cashback offers are very good.,Credit Card,
9282-IZGQK,Female,0,No,No,1,Yes,Yes,top up loan,No,No,No,No,No,Yes,Month-to-month,Yes,85,85,Yes,The loan disbursement process is very slow.,Loans,
3727-OWVYD,Male,0,No,No,35,Yes,No,general loan,Yes,Yes,Yes,No,No,No,One year,No,61.2,2021.2,No,The Debit Card PIN reset process is confusing.,Debit Card,
0236-HFWSV,Male,0,No,No,15,Yes,Yes,top up loan,No,No,No,No,Yes,Yes,Month-to-month,Yes,93.35,1444.65,Yes,The Savings Account mobile app is very glitchy.,Savings Account,
8100-PNJMH,Male,0,Yes,Yes,68,Yes,Yes,general loan,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,88.85,6132.7,No,The online application process for Credit Cards is very easy.,Credit Cards,
2483-XSSMZ,Female,0,No,No,39,Yes,No,general loan,Yes,No,No,No,No,No,One year,Yes,47.85,1886.4,No,My Credit Card is not generating a credit score.,Credit Card,
6905-NIQIN,Male,0,No,No,1,Yes,No,general loan,No,Yes,No,No,No,No,Month-to-month,No,50.65,50.65,Yes,The ATM fees are too high.,ATM Service,
5845-BZZIB,Male,0,Yes,Yes,35,Yes,No,No,No,No,No,No,No,No,Two year,No,20.1,655.3,No,I faced difficulty in getting my Credit Card activated.,Credit Cards,
3316-UWXUY,Male,0,No,No,50,Yes,No,top up loan,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,93.5,4747.5,No,The loan tenure options are very flexible.,Loans,
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No,No,No,No,No,No,Two year,Yes,20.15,973.35,No,The fixed deposit maturity process is very smooth.,Fixed Deposit,
0947-MUGVO,Male,1,Yes,No,20,Yes,No,top up loan,No,Yes,No,No,No,No,Month-to-month,Yes,73.65,1463.5,Yes,My Debit Card was not delivered on time.,Debit Cards,
3466-BYAVD,Male,0,Yes,Yes,15,Yes,No,general loan,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,69.5,1071.4,No,The ATM network is very unreliable.,ATM Service,
1525-LNLOJ,Male,0,Yes,Yes,66,Yes,Yes,general loan,No,No,Yes,No,Yes,No,Two year,Yes,63.3,4189.7,No,The Current Account statement is very easy to access.,Current Account,
5961-VUSRV,Female,0,No,No,12,Yes,No,No,No,No,No,No,No,No,One year,Yes,19.35,219.35,No,The customer service for Savings Accounts is excellent.,Savings Account,
5630-AHZIL,Female,0,No,Yes,3,Yes,No,general loan,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,64.5,177.4,No,The Current Account maintenance charges are too high.,Current Account,
9367-WXLCH,Male,0,No,No,8,Yes,Yes,top up loan,No,No,No,No,No,Yes,Month-to-month,No,84.5,662.65,Yes,The ATM withdrawal limit is too low.,ATM Service,
3003-CMDUU,Female,0,Yes,No,25,Yes,No,top up loan,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,95.15,2395.7,No,What documents are needed for loan application?,Loans,
6092-QZVPP,Male,0,No,No,36,Yes,No,general loan,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,79.2,,No,How do I get a statement for my Savings Account?,Savings Account,
2876-GZYZC,Female,0,No,No,13,Yes,Yes,top up loan,No,No,No,No,No,Yes,Month-to-month,Yes,85.95,1215.65,No,The loan officers are very knowledgeable and helpful.,Loans,
5564-NEMQO,Female,1,No,No,1,Yes,No,top up loan,No,No,Yes,No,No,No,Month-to-month,Yes,75.3,75.3,Yes,The fixed deposit rates are not competitive.,Fixed Deposit,
1557-EMYVT,Female,0,No,No,43,Yes,Yes,top up loan,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,115.05,4895.1,No,How do I get an overdraft on my Current Account?,Current Account,
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,general loan,Yes,No,No,No,No,No,Month-to-month,Yes,49.95,587.45,No,I am satisfied with the easy fund transfer from my Current Account.,Current Account,
3716-UVSPD,Male,0,No,No,1,Yes,No,general loan,No,No,No,Yes,No,No,Month-to-month,Yes,49.3,49.3,No,How do I get a Demand Draft from my Current Account?,Current Account,
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No,No,No,No,No,No,Two year,Yes,19.95,927.1,No,The loan interest rates are very competitive.,Loans,
0295-QVKPB,Male,0,No,No,,Yes,No,general loan,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,63.95,318.1,No,My Debit Card is damaged.,Debit Card,
6275-YDUVO,Female,0,No,No,2,Yes,No,top up loan,No,No,Yes,No,No,Yes,Month-to-month,Yes,86.2,178.7,Yes,The loan processing fees were not clearly communicated.,Loans,
2806-MLNTI,Male,1,Yes,No,52,Yes,Yes,top up loan,No,Yes,Yes,No,Yes,Yes,One year,Yes,105.1,5376.4,No,The online banking system is often down.,Online Banking,
4908-XAXAY,Female,1,No,No,49,Yes,No,top up loan,No,Yes,Yes,No,No,Yes,One year,Yes,89.85,4287.2,No,The Savings Account services are very reliable.,Savings Account,
2382-BCKQJ,Female,0,No,Yes,62,Yes,Yes,top up loan,No,No,Yes,No,Yes,Yes,One year,Yes,100.15,6413.65,Yes,The ATM is often out of service.,ATM Service,
8098-LLAZX,Female,1,No,No,4,Yes,Yes,top up loan,No,No,No,No,Yes,Yes,Month-to-month,,95.45,396.1,Yes,The Current Account overdraft fees are exorbitant.,Current Account,
0374-FIUCA,Male,0,Yes,No,65,Yes,No,No,No,No,No,No,No,No,Two year,Yes,20.4,1414.45,No,The loan processing fee is too high.,Loans,
2320-SLKMB,Female,0,No,No,26,No,No,general loan,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,44.45,1183.8,No,I am happy with the fixed deposit maturity process.,Fixed Deposit,
4710-FDUIZ,Male,0,Yes,No,56,Yes,Yes,top up loan,No,Yes,No,No,Yes,Yes,One year,No,100.3,5614.45,Yes,The branch does not have enough seating.,Branch Service,
1710-RCXUS,Male,0,Yes,No,51,Yes,Yes,top up loan,No,Yes,No,No,No,Yes,One year,Yes,90.35,4614.55,No,The mobile banking app does not have biometric login.,Mobile Banking,
2001-MCUUW,Male,0,No,No,46,Yes,Yes,top up loan,No,Yes,Yes,Yes,Yes,Yes,Two year,No,108.65,4903.2,No,The Debit Card is not accepted at many places.,Debit Card,
2123-AGEEN,Female,1,No,No,7,Yes,No,top up loan,No,No,Yes,No,Yes,No,Month-to-month,Yes,84.35,609.65,No,The overall banking services are satisfactory and meet my needs.,General,
4811-JBUVU,Male,0,No,No,30,Yes,Yes,top up loan,No,No,No,Yes,No,Yes,Month-to-month,Yes,89.9,2723.15,No,The loan officers were not very knowledgeable.,Loans,
7471-WNSUF,Male,0,Yes,No,60,Yes,Yes,No,No,No,No,No,No,No,One year,No,24.15,1505.9,No,The online banking transactions are very secure.,Online Banking,
1095-WGNGG,Female,0,Yes,No,61,Yes,Yes,top up loan,No,Yes,No,No,Yes,Yes,Two year,Yes,101.05,5971.25,No,The overdraft protection for Current Accounts is very helpful.,Current Account,
7531-GQHME,Male,0,No,No,12,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,20.05,265.45,No,How do I get a Current Account statement by branch visit?,Current Account,
8896-RAZCR,Female,0,No,Yes,44,Yes,No,No,No,No,No,No,No,No,Two year,No,19.9,868.1,No,The Current Account online services are very reliable.,Current Account,
4694-PHWFW,Female,0,No,Yes,8,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,19.95,170.9,No,I am happy with the quick resolution from customer support.,Customer Support,
9117-SHLZX,Male,0,No,No,1,Yes,No,general loan,No,No,No,No,No,No,Month-to-month,Yes,45.7,45.7,Yes,The branch is always very crowded.,Branch Service,
8603-IJWDN,Male,0,No,No,1,Yes,Yes,top up loan,No,No,No,No,No,Yes,Month-to-month,Yes,86.6,86.6,Yes,The Credit Card billing process is confusing.,Credit Card,
3671-SHRSP,Male,0,Yes,No,4,Yes,No,top up loan,No,No,Yes,Yes,No,No,Month-to-month,Yes,80.6,319.15,Yes,The branch is not accessible for disabled customers.,,
4091-TVOCN,Male,0,No,Yes,48,Yes,Yes,general loan,Yes,No,Yes,No,Yes,Yes,One year,Yes,78.75,3682.45,No,The loan processing fees were not clearly communicated.,,
6614-VBEGU,Female,0,Yes,No,24,Yes,No,general loan,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,69.45,1614.05,No,The Current Account opening process was very easy.,,
1135-LMECX,Female,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,19.85,19.85,No,The customer service for my Loan is unresponsive.,,
4824-GUCBY,Female,1,No,No,22,Yes,No,top up loan,Yes,Yes,No,No,No,No,Month-to-month,No,81.7,1820.9,No,The mobile banking app is very user-friendly.,,
0334-GDDSO,Male,1,No,No,3,Yes,Yes,top up loan,No,Yes,No,No,No,No,Month-to-month,Yes,81.35,233.7,Yes,The mobile banking app does not support multiple accounts.,,
6380-ARCEH,Male,0,No,No,1,,No,No,No,No,No,No,No,No,Month-to-month,No,20.2,20.2,No,I am facing an issue with my Credit Card.,,
6158-HDPXZ,Male,0,No,No,1,No,No,general loan,No,No,No,No,No,No,Month-to-month,No,25.35,25.35,No,The Savings Account services are very reliable.,Savings Account,
5256-SKJGO,Female,0,Yes,Yes,64,No,No,general loan,No,Yes,No,Yes,Yes,Yes,Two year,Yes,54.6,3423.5,No,The loan approval process is too slow.,Loans,
1173-NOEYG,Female,0,Yes,No,27,Yes,Yes,top up loan,No,No,Yes,No,No,Yes,Month-to-month,No,90.15,2423.4,No,The mobile banking app does not have biometric login.,Mobile Banking,
0604-THJFP,Female,0,Yes,Yes,59,Yes,No,general loan,No,Yes,No,Yes,Yes,Yes,Two year,Yes,75.95,4542.35,No,How do I request a new Debit Card?,Debit Cards,
1744-JHKYS,Female,0,Yes,No,34,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,24.7,780.2,No,The loan prepayment charges are too high.,Loans,
1984-GPTEH,Female,0,No,No,29,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,25.15,702,No,Can I use my Debit Card for online purchases?,Debit Cards,
9073-ZZIAY,Male,0,Yes,Yes,62,Yes,No,general loan,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,86.1,5215.25,No,I was not informed about the processing fees for my loan.,Loans,
5138-WVKYJ,Male,0,No,No,10,Yes,Yes,top up loan,Yes,No,No,No,Yes,Yes,Month-to-month,No,98.55,1008.55,Yes,The branch does not have enough seating.,Branch Service,
4195-NZGTA,Female,0,No,No,1,No,No,general loan,No,No,No,No,No,No,Month-to-month,No,25.25,25.25,,The fixed deposit renewal process is very easy.,Fixed Deposit,
2640-LYMOV,Male,0,No,No,2,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,19.65,38.8,,The Savings Account interest rates are very competitive.,Savings Account,
8397-MVTAZ,Male,0,Yes,No,34,Yes,Yes,top up loan,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,100.05,3480,,The online banking system is often down.,Online Banking,
6967-QIQRV,Male,0,Yes,Yes,15,Yes,No,top up loan,Yes,No,No,Yes,Yes,Yes,One year,No,101.9,1667.25,,The mobile banking app crashes frequently.,Mobile Banking,
3261-CQXOL,Female,0,Yes,Yes,71,Yes,Yes,No,No,No,No,No,No,No,Two year,No,25.45,1813.35,,The branch is always crowded.,Branch Service,
5671-RQRLP,Female,1,Yes,No,70,Yes,Yes,top up loan,No,No,No,No,No,No,Two year,Yes,75.65,5411.4,,The Current Account online banking features are very convenient.,Current Account,
3842-IYKUE,Female,0,No,No,35,Yes,Yes,top up loan,No,Yes,No,Yes,No,No,Month-to-month,No,85.3,2917.5,,I was charged a fee for closing my Savings Account.,Savings Account,
5846-NEQVZ,Male,0,Yes,Yes,71,Yes,No,general loan,Yes,No,Yes,Yes,No,Yes,Two year,Yes,70.85,4973.4,,Can I use my account for wire transfers?,General,
9889-TMAHG,Male,1,No,No,8,Yes,No,top up loan,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,100.3,832.35,,I faced issues with fraudulent transactions on my Credit Card.,Credit Cards,
6425-JWTDV,Male,0,Yes,No,48,Yes,No,No,No,No,No,No,No,No,Two year,No,19.25,855.1,,I had a hard time disputing a charge on my Credit Card.,Credit Cards,
8782-LKFPK,Male,0,No,No,44,Yes,Yes,top up loan,No,No,Yes,No,No,Yes,Month-to-month,Yes,90.4,4063,,The branch has a very long wait time.,Branch Service,
2202-OUTMO,Female,0,Yes,No,34,Yes,Yes,general loan,Yes,No,No,Yes,No,No,Month-to-month,Yes,60.85,2003.6,,How do I check my Savings Account balance online?,Savings Account,
3580-HYCSP,Male,0,Yes,Yes,72,Yes,Yes,top up loan,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,110.3,7966.9,,The Current Account customer service is excellent.,Current Account,
2684-EIWEO,Female,1,No,No,30,Yes,Yes,top up loan,Yes,Yes,Yes,No,No,No,Month-to-month,No,91.7,2758.15,,The branch does not have enough seating.,Branch Service,
1452-VOQCH,Male,0,No,No,1,Yes,Yes,top up loan,No,No,No,No,No,No,Month-to-month,Yes,75.1,75.1,No,The Credit Card rewards program is excellent.,Credit Card,
3551-GAEGL,Male,0,Yes,Yes,34,No,No,general loan,Yes,No,No,No,No,No,One year,No,30.4,938.65,No,How do I get a Savings Account statement by SMS?,Savings Account,
3780-DDGSE,Male,1,Yes,Yes,35,Yes,No,general loan,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,76.05,2747.2,No,The bank's fraud protection services are very effective.,General,
6286-ZHAOK,Female,0,Yes,Yes,20,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,25.55,507.4,No,The branch is not accessible for disabled customers.,Branch Service,
1766-GKNMI,Male,0,No,No,29,Yes,Yes,top up loan,No,No,No,No,No,Yes,Month-to-month,Yes,84.9,2516.2,No,The online banking transactions are very secure.,Online Banking,
2480-JZOSN,Female,0,Yes,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,20.65,20.65,No,Can I pay my Credit Card bill online?,Credit Cards,
7503-MIOGA,Female,1,Yes,No,72,Yes,Yes,general loan,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,89.85,6697.35,No,I want to open a Fixed Deposit.,Savings Account,
0388-EOPEX,Female,0,Yes,No,2,Yes,No,top up loan,Yes,No,No,No,No,No,Month-to-month,Yes,74.4,139.4,Yes,The loan processing time is too long.,Loans,
6919-ELBGL,Male,1,Yes,Yes,72,Yes,Yes,top up loan,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,114.95,8196.4,No,The ATM charges are too high.,ATM Service,
2321-OMBXY,Female,0,Yes,Yes,38,Yes,No,general loan,Yes,Yes,No,Yes,Yes,Yes,One year,No,80.3,3058.65,Yes,The mobile banking app crashes frequently.,Mobile Banking,
5027-YOCXN,Male,0,Yes,Yes,51,Yes,Yes,top up loan,Yes,Yes,No,Yes,Yes,Yes,One year,No,110.05,5686.4,No,What documents are required for a Home Loan?,Loans,
7273-TEFQD,Male,1,No,No,3,No,No,general loan,No,No,Yes,No,No,Yes,Month-to-month,Yes,41.15,132.2,Yes,The ATM fees are too high.,ATM Service,
0285-INHLN,Male,0,Yes,Yes,27,Yes,No,general loan,Yes,Yes,No,No,No,No,Month-to-month,Yes,54.75,1510.3,No,What is the tenure for a Home Loan?,Loans,
